styrk08,name_en,source
8172,Wood processing plant operators,"SSB Klass API, classification 7, language=en"
8181,Glass and ceramics plant operators,"SSB Klass API, classification 7, language=en"
8182,Steam engine and boiler operators,"SSB Klass API, classification 7, language=en"
8183,"Packing, bottling and labelling machine operators","SSB Klass API, classification 7, language=en"
8189,Stationary plant and machine operators not elsewhere classified,"SSB Klass API, classification 7, language=en"
8211,Mechanical machinery assemblers,"SSB Klass API, classification 7, language=en"
8212,Electrical and electronic equipment assemblers,"SSB Klass API, classification 7, language=en"
8219,Assemblers not elsewhere classified,"SSB Klass API, classification 7, language=en"
8311,Locomotive engine drivers,"SSB Klass API, classification 7, language=en"
8312,"Railway brake, signal and switch operators","SSB Klass API, classification 7, language=en"
8322,"Car, taxi, van and motorcycle drivers","SSB Klass API, classification 7, language=en"
8331,Bus and tram drivers,"SSB Klass API, classification 7, language=en"
8332,Heavy truck and lorry drivers,"SSB Klass API, classification 7, language=en"
8341,Mobile farm and forestry plant operators,"SSB Klass API, classification 7, language=en"
8342,Earthmoving and related plant operators,"SSB Klass API, classification 7, language=en"
8343,"Crane, hoist and related plant operators","SSB Klass API, classification 7, language=en"
8344,Lifting truck operators,"SSB Klass API, classification 7, language=en"
8350,Ships¿ deck crew and related workers,"SSB Klass API, classification 7, language=en"
9111,Domestic cleaners and helpers,"SSB Klass API, classification 7, language=en"
9112,"Cleaners and helpers in offices, hotels and other local kinds of activity units","SSB Klass API, classification 7, language=en"
9122,Vehicle cleaners,"SSB Klass API, classification 7, language=en"
9123,Window cleaners,"SSB Klass API, classification 7, language=en"
9129,Other cleaning workers,"SSB Klass API, classification 7, language=en"
9211,Crop farm labourers,"SSB Klass API, classification 7, language=en"
9212,Livestock farm labourers,"SSB Klass API, classification 7, language=en"
9213,Mixed crop and livestock farm labourers,"SSB Klass API, classification 7, language=en"
9214,Garden and horticultural labourers,"SSB Klass API, classification 7, language=en"
9215,Forestry labourers,"SSB Klass API, classification 7, language=en"
9216,Fishery and aquaculture labourers,"SSB Klass API, classification 7, language=en"
9311,Mining and quarrying labourers,"SSB Klass API, classification 7, language=en"
9312,Civil engineering labourers,"SSB Klass API, classification 7, language=en"
9313,Building construction labourers,"SSB Klass API, classification 7, language=en"
9321,Hand packers,"SSB Klass API, classification 7, language=en"
9329,Manufacturing labourers not elsewhere classified,"SSB Klass API, classification 7, language=en"
9331,Hand and pedal vehicle drivers,"SSB Klass API, classification 7, language=en"
9333,Freight handlers,"SSB Klass API, classification 7, language=en"
9334,Shelf fillers,"SSB Klass API, classification 7, language=en"
9412,Kitchen helpers,"SSB Klass API, classification 7, language=en"
9510,Street and related service workers,"SSB Klass API, classification 7, language=en"
9611,Garbage and recycling collectors,"SSB Klass API, classification 7, language=en"
9612,Refuse sorters,"SSB Klass API, classification 7, language=en"
9613,Sweepers and related labourers,"SSB Klass API, classification 7, language=en"
9621,"Messengers, package deliverers and luggage porters","SSB Klass API, classification 7, language=en"
9622,Odd job persons,"SSB Klass API, classification 7, language=en"
9623,Meter readers and vending-machine collectors,"SSB Klass API, classification 7, language=en"
9629,Elementary workers not elsewhere classified,"SSB Klass API, classification 7, language=en"
