styrk08,microsoft_applicability,microsoft_user,microsoft_action,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
3112,0.131251,0.187604,0.074898,45.15,3,5,1,3,
3113,0.185508,0.305887,0.06513,63.78,4,2,1,4,
3114,0.202801,0.337244,0.068358,67.86,4,1,1,4,
3115,0.213607,0.344664,0.082549,72.7,4,4,1,4,
3116,0.233319,0.369749,0.09689,77.55,4,1,1,4,
3117,0.206888,0.306562,0.107215,71.43,4,2,1,4,
3118,0.22149,0.322793,0.120188,75.0,4,4,1,2,
3119,0.140954,0.215879,0.066029,48.47,3,10,1,4,
3121,0.110208,0.170809,0.049606,33.67,2,1,1,2,
3122,0.250194,0.345105,0.155284,82.91,5,1,1,3,
3123,0.110208,0.170809,0.049606,33.93,2,1,1,2,
3131,0.134441,0.203636,0.065245,46.43,3,4,1,3,
3132,0.105864,0.151044,0.060684,30.1,2,4,1,3,
3133,0.046133,0.082664,0.009603,7.65,1,1,0,0,
3134,0.079476,0.115317,0.043635,19.39,1,4,1,2,
3135,0.075052,0.150105,0.0,17.6,1,1,1,2,
3139,0.419371,0.59953,0.239213,100.0,5,1,1,2,
3141,0.122716,0.204682,0.040751,41.58,3,2,0,0,
3142,0.110262,0.195496,0.025027,34.18,2,1,0,0,
3143,0.031688,0.028959,0.034417,2.04,1,1,0,0,
3151,0.024948,0.038936,0.010959,1.28,1,1,0,0,
3152,0.130513,0.179892,0.081135,44.64,3,1,0,0,
3153,0.128134,0.185739,0.070529,43.37,3,2,0,0,
3154,0.170821,0.2127,0.128941,57.65,3,1,0,0,
3155,0.202801,0.337244,0.068358,68.11,4,1,1,4,
3211,0.086442,0.143502,0.029383,21.68,2,5,0,0,
3213,0.192731,0.342177,0.043286,66.07,4,1,0,0,
3214,0.056014,0.08342,0.028607,11.99,1,4,0,0,
3230,0.152713,0.207312,0.098115,53.06,3,1,1,3,
3240,0.052346,0.079869,0.024823,10.71,1,2,1,2,
3251,0.056435,0.075639,0.03723,12.24,1,2,1,2,
3254,0.136074,0.203443,0.068705,46.94,3,1,0,0,
3256,0.038226,0.05342,0.023031,3.57,1,2,0,0,
3257,0.107264,0.156172,0.058355,31.12,2,3,1,3,
3258,0.077514,0.106796,0.048233,19.13,1,1,0,0,
3259,0.087959,0.124541,0.051378,22.7,2,10,1,3,
3311,0.200634,0.261916,0.139353,67.35,4,2,1,9,
3312,0.267789,0.342645,0.192933,88.01,5,2,0,0,
3313,0.244117,0.362087,0.126148,80.87,5,1,1,2,
3315,0.239403,0.343892,0.134914,78.57,4,2,0,0,
3321,0.186056,0.263397,0.108715,64.29,4,3,1,9,
3322,0.309135,0.413004,0.205266,93.62,5,4,1,9,
3324,0.203624,0.277381,0.129867,68.88,4,3,1,9,
3331,0.196733,0.297555,0.095911,66.33,4,2,1,2,
3332,0.146508,0.167665,0.125351,50.77,3,1,0,0,
3333,0.120607,0.152595,0.088619,40.56,3,2,1,2,
3334,0.205768,0.279405,0.13213,70.66,4,4,1,9,
3339,0.2467,0.339163,0.154237,81.89,5,7,1,9,
3341,0.245483,0.283632,0.207333,81.12,5,1,0,0,
3342,0.206817,0.349329,0.064305,71.17,4,1,0,0,
3343,0.231669,0.320788,0.14255,76.53,4,2,0,0,
3351,0.141737,0.203207,0.080267,48.72,3,3,1,3,
3352,0.339925,0.392472,0.287378,96.94,5,1,0,0,
3353,0.241157,0.314772,0.167542,79.59,4,2,1,3,
3354,0.223503,0.314045,0.13296,76.02,4,2,1,3,
3355,0.114084,0.16786,0.060308,37.5,2,2,1,3,
3359,0.089367,0.127099,0.051634,22.96,2,1,1,3,
3411,0.122649,0.199334,0.045964,41.33,3,6,1,2,
3412,0.255444,0.316989,0.193899,85.2,5,1,0,0,
3421,0.221704,0.379756,0.063651,75.26,4,1,0,0,
3422,0.153784,0.203941,0.103626,53.57,3,3,1,6,
3423,0.175499,0.225032,0.125967,58.67,3,4,1,10,
3431,0.246259,0.457645,0.034874,81.63,5,1,0,0,
3432,0.205293,0.266364,0.144221,70.15,4,3,0,0,
3433,0.215569,0.36059,0.070549,72.96,4,3,1,5,
3434,0.13396,0.221357,0.046564,46.17,3,2,1,2,
3511,0.297786,0.412808,0.182764,91.58,5,1,0,0,
3512,0.33389,0.501669,0.16611,96.43,5,1,0,0,
3513,0.302137,0.48308,0.121193,91.84,5,1,0,0,
3514,0.288051,0.439409,0.136693,90.82,5,2,1,2,
3521,0.159322,0.273851,0.044793,56.12,3,5,1,2,
