styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour,shared_elements
2165,3,2151,0.6598,2,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Scheduling Work and Activities; Mathematics"
2165,4,2131,0.6107,2,9,Mathematics; Science; Analyzing Data or Information
2165,5,2111,0.6088,2,2,Mathematics; Analyzing Data or Information; Science
2166,1,2431,0.7149,2,2,Thinking Creatively; Getting Information; Programming
2166,2,2654,0.6948,2,3,Thinking Creatively; Working with Computers; Updating and Using Relevant Knowledge
2166,3,2513,0.6878,2,1,Thinking Creatively; Programming; Technology Design
2166,4,2641,0.6242,2,3,Thinking Creatively; Working with Computers; Getting Information
2166,5,2519,0.6114,2,1,Programming; Thinking Creatively; Technology Design
2211,1,2212,0.9088,4,4,Science; Assisting and Caring for Others; Judgment and Decision Making
2211,2,2224,0.8348,4,3,Assisting and Caring for Others; Science; Updating and Using Relevant Knowledge
2211,3,2223,0.8348,4,3,Assisting and Caring for Others; Science; Updating and Using Relevant Knowledge
2211,4,2221,0.8348,4,3,Assisting and Caring for Others; Science; Updating and Using Relevant Knowledge
2211,5,2222,0.819,4,1,Assisting and Caring for Others; Science; Documenting/Recording Information
2212,1,2224,0.9432,4,3,Assisting and Caring for Others; Science; Monitoring
2212,2,2223,0.9432,4,3,Assisting and Caring for Others; Science; Monitoring
2212,3,2221,0.9432,4,3,Assisting and Caring for Others; Science; Monitoring
2212,4,2211,0.9088,4,4,Science; Assisting and Caring for Others; Judgment and Decision Making
2212,5,2222,0.8953,4,1,Assisting and Caring for Others; Science; Monitoring
2221,1,2224,1.0,3,3,Assisting and Caring for Others; Science; Monitoring
2221,2,2223,1.0,3,3,Assisting and Caring for Others; Science; Monitoring
2221,3,2212,0.9432,3,4,Assisting and Caring for Others; Science; Monitoring
2221,4,2222,0.9251,3,1,"Assisting and Caring for Others; Identifying Objects, Actions, and Events; Monitoring"
2221,5,2261,0.8651,3,4,Assisting and Caring for Others; Science; Monitoring
2222,1,2224,0.9251,1,3,"Assisting and Caring for Others; Identifying Objects, Actions, and Events; Monitoring"
2222,2,2223,0.9251,1,3,"Assisting and Caring for Others; Identifying Objects, Actions, and Events; Monitoring"
2222,3,2221,0.9251,1,3,"Assisting and Caring for Others; Identifying Objects, Actions, and Events; Monitoring"
2222,4,2212,0.8953,1,4,Assisting and Caring for Others; Science; Monitoring
2222,5,2266,0.8275,1,2,Assisting and Caring for Others; Social Perceptiveness; Documenting/Recording Information
2223,1,2224,1.0,3,3,Assisting and Caring for Others; Science; Monitoring
