date,sector,age_group,ai_q,employment,percap,emp_index
2025-06-16,1,3,5,42602.0,0.05890144287934343,0.9858449875455332
2025-07-16,1,3,5,43371.0,0.05995264168444101,1.003439107863471
2025-08-16,1,3,5,43311.0,0.059869702427770274,1.0020509372777844
2025-09-16,1,3,5,43523.0,0.060162754468006875,1.0069558066805433
2025-10-16,1,3,5,43655.0,0.06033312786946871,1.0098073796748805
2025-11-16,1,3,5,43751.0,0.06046580408698032,1.0120280075170245
2025-12-16,1,3,5,43775.0,0.060498973141358214,1.0125831644775605
2026-01-16,1,3,5,43196.0,0.05968689115806055,0.9989911892461556
2026-02-16,1,3,5,43305.0,0.05983750397258571,1.0015120254260759
2026-03-16,1,3,5,43435.0,0.06001713393486341,1.0045185272920356
2026-04-16,1,3,5,43435.0,0.060005360211755995,1.004321468182058
2021-01-16,1,3,all,253096.0,0.3499131079162352,0.9924760255706011
2021-02-16,1,3,all,254628.0,0.3520311456621011,0.9984835218217238
2021-03-16,1,3,all,253806.0,0.3508947050438885,0.9952601785329361
2021-04-16,1,3,all,253986.0,0.3515800518539949,0.9972040619223939
2021-05-16,1,3,all,254489.0,0.35227632946804666,0.9991789488970576
2021-06-16,1,3,all,245873.0,0.340349633796734,0.9653506662455598
2021-07-16,1,3,all,254193.0,0.352314780164492,0.999288008527935
2021-08-16,1,3,all,252178.0,0.349521964146618,0.991366604959844
2021-09-16,1,3,all,254911.0,0.35330993743537714,1.0021106228018255
2021-10-16,1,3,all,256493.0,0.35595600735523714,1.0096158030823916
2021-11-16,1,3,all,255949.0,0.3552010547132498,1.0074744931952726
2021-12-16,1,3,all,258114.0,0.3582055996946883,1.0159964341982373
2022-01-16,1,3,all,251676.0,0.34952524196202767,0.9913759019914118
2022-02-16,1,3,all,252514.0,0.35068904841462617,0.994676864363147
2022-03-16,1,3,all,252660.0,0.35089181182999535,0.9952519723658597
2022-04-16,1,3,all,252970.0,0.35139456287861004,0.9966779502766386
2022-05-16,1,3,all,252389.0,0.35058750970616875,0.9943888650526567
2022-06-16,1,3,all,242951.0,0.3374774101510898,0.9572040348565428
2022-07-16,1,3,all,251220.0,0.3490378603681834,0.9899935172328774
2022-08-16,1,3,all,249689.0,0.34691073289336577,0.9839602393295117
2022-09-16,1,3,all,253443.0,0.3521264327891629,0.9987537894596454
2022-10-16,1,3,all,253706.0,0.3525658040102891,1.0
2022-11-16,1,3,all,253556.0,0.3523573545822048,0.9994087644754163
2022-12-16,1,3,all,254505.0,0.3536761446305512,1.0031493145609485
2023-01-16,1,3,all,250604.0,0.3481829751524145,0.9875687635952728
2023-02-16,1,3,all,252014.0,0.3501419941423943,0.993125227006349
2023-03-16,1,3,all,252056.0,0.35020034789954263,0.9932907386824236
2023-04-16,1,3,all,252218.0,0.35021376511247837,0.9933287945936411
2023-05-16,1,3,all,252028.0,0.34994994327830564,0.9925805035479076
2023-06-16,1,3,all,243300.0,0.33783080133799326,0.9582063759312692
2023-07-16,1,3,all,252004.0,0.34970053897433906,0.9918731056632298
2023-08-16,1,3,all,248111.0,0.3442983064771283,0.976550483798708
2023-09-16,1,3,all,250706.0,0.34789933224909386,0.9867642530610852
2023-10-16,1,3,all,252554.0,0.3502465069514267,0.9934216619068515
2023-11-16,1,3,all,253060.0,0.35094823700724614,0.9954120139144416
2023-12-16,1,3,all,254953.0,0.3535734840342544,1.002858133183943
2024-01-16,1,3,all,250202.0,0.3467726287428137,0.9835685276292244
2024-02-16,1,3,all,251081.0,0.3479908969447663,0.9870239625809278
2024-03-16,1,3,all,251224.0,0.34818909074781434,0.9875861095639695
2024-04-16,1,3,all,251376.0,0.34819031788905047,0.9875895901659512
2024-05-16,1,3,all,251240.0,0.34800193919246486,0.9870552822596175
2024-06-16,1,3,all,242793.0,0.336301682942032,0.9538692610478399
2024-07-16,1,3,all,252878.0,0.350053571576887,0.992874429667238
