age_bin,ai_q,k,coef,se,n_obs,n_occ
2,3,30,0.06084412100998815,0.03246612209675517,24428,394
2,3,31,0.06096098588430737,0.031128961944039194,24428,394
2,3,32,0.0509120128263737,0.032053033371447034,24428,394
2,3,33,0.03707029105697213,0.03431228645480725,24428,394
2,3,34,0.05384624553422923,0.035959295638807676,24428,394
2,3,35,0.060462381912829655,0.03581995831536837,24428,394
2,3,36,0.0708443706896531,0.035921582700528754,24428,394
2,3,37,0.08050471842524032,0.03493593867351584,24428,394
2,3,38,0.09023308664457386,0.036494413011417925,24428,394
2,3,39,0.09094046243176007,0.03919962659720942,24428,394
2,4,-22,-0.04209353293376508,0.03091081763441297,24428,394
2,4,-21,-0.02653167623666577,0.03192621383383195,24428,394
2,4,-20,-0.027044443819179115,0.032099718901959146,24428,394
2,4,-19,-0.029019983243950935,0.03194363824078992,24428,394
2,4,-18,-0.04232366511864635,0.03024289685804082,24428,394
2,4,-17,-0.055055813037866164,0.023596375097037197,24428,394
2,4,-16,-0.0684801698071926,0.026261572581138603,24428,394
2,4,-15,-0.0660661819000263,0.02638005804495613,24428,394
2,4,-14,-0.049946555273931215,0.01985596621245103,24428,394
2,4,-13,-0.03872450713443758,0.017619689634919115,24428,394
2,4,-12,-0.03431692131013078,0.01748701197447256,24428,394
2,4,-11,-0.023174092876777644,0.01788494379162527,24428,394
2,4,-10,-0.014121605184639868,0.020207760480151167,24428,394
2,4,-9,-0.007409110759063822,0.01834567944162964,24428,394
2,4,-8,-0.013050253241436494,0.015929855048171408,24428,394
2,4,-7,-0.019270550360754795,0.013421108951354323,24428,394
2,4,-6,-0.028544701030676384,0.010907294433147974,24428,394
2,4,-5,-0.042084324354204325,0.01138833556969739,24428,394
2,4,-4,-0.048146675688338164,0.02182290419824399,24428,394
2,4,-3,-0.041224302829304615,0.02183451148097063,24428,394
2,4,-2,-0.023450079850480976,0.010982231568454808,24428,394
2,4,-1,0.0,0.0,24428,394
2,4,0,0.010321859367807051,0.004716517005116681,24428,394
2,4,1,0.01481340333438902,0.007829462115485623,24428,394
2,4,2,0.020575886846971758,0.016705237939462613,24428,394
2,4,3,0.028635742056985825,0.013253097888723074,24428,394
2,4,4,0.025479081490499045,0.01302883380158495,24428,394
2,4,5,0.019991871591692967,0.012092501593276683,24428,394
2,4,6,0.010878633630258316,0.012646275565671432,24428,394
2,4,7,-0.003601003081080356,0.01402110665156472,24428,394
2,4,8,-0.010168844711306635,0.024236979279166973,24428,394
2,4,9,-0.006146647297849028,0.025809869581343098,24428,394
2,4,10,0.011443079368612774,0.020189197038419364,24428,394
2,4,11,0.0245321273181085,0.0173131261855462,24428,394
2,4,12,0.028331054916540255,0.01744593484616549,24428,394
2,4,13,0.03197565885960674,0.020634934329919474,24428,394
2,4,14,0.04044914111551523,0.028425720027289804,24428,394
2,4,15,0.04231871321493785,0.026154712438756444,24428,394
2,4,16,0.04023138278142524,0.025459164044583298,24428,394
2,4,17,0.032736279274940605,0.024814729394515005,24428,394
2,4,18,0.02135146869192006,0.025767691897481546,24428,394
2,4,19,0.003771538557836074,0.02707290112428423,24428,394
2,4,20,-0.00931579785179859,0.036303646114088005,24428,394
2,4,21,-0.0035905981679356658,0.03737891496926729,24428,394
2,4,22,0.014881544804419,0.03099836761474832,24428,394
2,4,23,0.023570246360210434,0.029281892173242015,24428,394
2,4,24,0.03180107337905863,0.029338435103485355,24428,394
2,4,25,0.040194803977138815,0.0332069993712397,24428,394
